Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
AMF1020,B190/A ,KTUL,Tulsa Intl,"Tulsa, OK",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:46,7/11/13 1:44,0:58
AAL997,B772/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",SAEZ,Ministro Pistarini Int'l,"Ezeiza, Buenos Aires Province",7/11/13 0:47,7/11/13 10:44,9:57
AAL1630,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KFLL,Hollywood Int'l,"Fort Lauderdale, FL",7/11/13 0:47,7/11/13 3:17,2:30
EGF2822,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLCH,Lake Charles Rgnl,"Lake Charles, LA",7/11/13 0:48,7/11/13 1:33,0:45
AAL2349,MD80/Q ,KORD,Chicago O'Hare Intl,"Chicago, IL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:48,7/11/13 2:35,1:47
AAL996,B763 ,SAEZ,Ministro Pistarini Int'l,"Ezeiza, Buenos Aires Province",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:48,7/11/13 11:02,10:14
UAL1715,B737/Q ,KIAD,Washington Dulles Intl,"Washington, DC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:49,7/11/13 3:22,2:33
DAL85,MD88/Q ,KATL,Hartsfield-Jackson Intl,"Atlanta, GA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:49,7/11/13 2:31,1:42
AAL1699,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KSNA,John Wayne Arpt,"Santa Ana, CA",7/11/13 0:49,7/11/13 3:22,2:33
DAL1283,A320/Q ,KMSP,Minneapolis/St Paul Intl,"Minneapolis, MN",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:50,7/11/13 2:40,1:50
AAL689,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KPSP,Palm Springs Intl,"Palm Springs, CA",7/11/13 0:50,7/11/13 3:10,2:20
